"","Country","HDI","HDICategory","Age","Gender","Kids","Education","WorkStatus","AnnIncome","Occupation","TenureY","TenureM","CommSize","Marital","Sons","Daughters","DP1","DP2","DP3","DP4","DP5","AIP1","AIP2","AIP3","AIP4","AIP5","AIP6","AIP7","AIP8","AIP9","AIP10","AIP11","AIP12","AIP13","AIP14","AIP15","GP1","GP2","GP3","GP4","GP5","GP6","GP7","GP8","GP9","GP10","GP11","GP12","GP13","GP14","GP15","GP16","GP17","GP18","GP19","GP20","SWLS1","SWLS2","SWLS3","SWLS4","SWLS5","SelfP","OthersP","DPMean","AIPMean","GPMean","SWLSMean"
"687","Israel",0.899,"Very high human development",28,"Female","No","ma","student",15000,"",2,7,"Small City","Single",0,0,2,2,1,1,1,3,2,5,3,2,1,1,2,2,1,3,3,4,1,3,4,1,2,3,4,2,2,1,4,1,4,4,3,1,1,2,4,4,4,4,5,5,5,4,4,"no","no",1.4,2,2.75,4.6
"688","Israel",0.899,"Very high human development",32,"Female","No","ltuni","student",25000,"Student",4,4,"Medium-Sized","Single",0,0,3,3,4,3,3,1,3,4,3,5,5,3,4,4,4,2,3,2,2,4,4,2,2,3,2,2,3,4,4,4,3,4,2,2,4,5,3,4,5,4,2,2,2,2,2,"yes","no",3.2,3,3.3,2
"689","Israel",0.899,"Very high human development",24,"Male","No","deg","student",10000,"Assistant",1,6,"Medium-Sized","Single",0,0,4,4,4,3,3,2,2,5,4,4,4,5,4,2,5,5,3,4,1,2,5,1,3,3,3,2,4,5,4,2,4,4,2,4,5,3,3,5,4,4,4,5,4,5,4,"yes","yes",3.6,3,3.5,4.4
"690","Israel",0.899,"Very high human development",25,"Female","No","phd","student",NA,"",1,8,"Small City","Single",0,0,2,2,1,1,1,2,2,4,3,1,1,2,2,2,2,3,2,4,2,2,3,2,2,1,4,2,3,2,4,2,2,4,2,2,3,4,2,2,4,2,4,4,4,4,4,"yes","no",1.4,2,2.6,4
"691","Israel",0.899,"Very high human development",28,"Male","No","ltuni","full-time",25000,"",2,0,"Village","Divorced",0,0,5,5,5,3,3,4,2,4,3,5,2,5,4,3,5,4,4,4,4,5,5,3,3,4,3,3,4,3,4,2,5,5,4,4,4,5,5,4,5,4,4,5,5,3,3,"yes","yes",4.2,4,3.95,4
"692","Israel",0.899,"Very high human development",67,"Female","No","phd","full-time",NA,"Lecturer",28,0,"Medium-Sized","",0,0,4,3,3,2,3,1,1,3,3,3,3,1,3,4,4,2,1,4,1,5,5,3,4,1,5,3,3,3,4,3,4,4,3,3,4,5,5,3,5,4,4,4,4,5,4,"yes","no",3,3,3.7,4.2
"693","Israel",0.899,"Very high human development",45,"Male","Yes","phd","full-time",150000,"",0,0,"Large Town","Married",2,4,2,2,2,2,2,2,2,2,3,2,2,1,3,3,2,2,2,3,2,4,3,2,3,2,2,3,4,2,3,2,2,3,2,3,3,2,2,4,3,2,4,5,4,5,3,"yes","no",2,2,2.6,4.2
"694","Israel",0.899,"Very high human development",20,"Male","No","ltuni","full-time",10000,"",1,2,"Village","Single",0,0,4,4,4,4,3,3,3,2,4,4,4,5,5,1,5,5,4,3,3,5,4,3,2,3,4,3,4,4,4,4,2,4,3,3,4,3,3,3,5,3,2,3,3,3,3,"yes","yes",3.8,4,3.4,2.8
"695","Israel",0.899,"Very high human development",28,"Female","No","ltuni","student",NA,"",0,0,"Rural/Country","Single",0,0,2,3,3,1,1,2,2,5,2,3,1,2,3,3,3,5,3,2,3,3,3,2,2,3,2,4,3,4,3,2,1,3,2,3,3,4,5,5,2,4,2,2,3,1,3,"yes","yes",2,3,3,2.2
"696","Israel",0.899,"Very high human development",25,"Male","No","ma","student",10000,"",1,0,"Small Town","Single",0,0,4,4,4,4,4,3,1,3,3,3,4,4,3,5,4,3,3,5,1,3,4,1,1,5,1,3,5,5,5,5,2,4,4,3,4,3,4,5,5,5,4,4,3,3,1,"yes","no",4,3,3.7,3
"697","Israel",0.899,"Very high human development",32,"Male","No","deg","full-time",150000,"",2,0,"Small Town","Married",0,0,3,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5,1,5,5,5,5,1,2,5,5,5,5,5,5,5,5,5,2,3,3,5,4,"yes","yes",4.6,5,4.4,3.4
"698","Israel",0.899,"Very high human development",55,"Female","Yes","deg","full-time",NA,"Journalist",23,0,"Medium-Sized","Married",1,2,3,4,4,3,3,1,2,4,4,3,2,4,3,2,4,3,3,2,3,2,3,3,3,2,3,2,3,3,4,4,4,3,2,2,4,4,3,4,4,3,3,4,3,3,3,"yes","yes",3.4,3,3.15,3.2
"699","Israel",0.899,"Very high human development",37,"Male","No","ma","part-time",NA,"",0,0,"","Single",0,0,4,4,5,4,4,4,5,5,5,5,4,5,3,5,5,4,5,1,5,5,5,5,5,5,3,4,4,4,4,2,4,4,4,1,4,5,4,4,5,4,3,4,4,3,3,"yes","yes",4.2,4,4,3.4
"700","Israel",0.899,"Very high human development",45,"Female","Yes","ma","full-time",NA,"",NA,0,"Village","",1,0,4,5,3,4,4,1,1,4,4,3,1,3,3,4,4,4,3,4,2,2,4,3,3,3,3,4,4,4,4,2,3,4,1,3,4,5,4,5,5,5,2,3,2,2,1,"yes","yes",4,3,3.65,2
"701","Italy",0.887,"Very high human development",25,"Female","No","ma","student",10000,"",0,4,"Medium-Sized","Single",0,0,5,4,4,2,3,2,4,5,4,3,1,5,3,3,3,3,4,5,5,1,5,2,3,3,4,4,4,5,4,3,1,4,4,3,4,4,3,3,5,5,3,3,4,3,1,"yes","yes",3.6,3,3.65,2.8
"702","Italy",0.887,"Very high human development",55,"Male","Yes","dip","full-time",87500,"",17,0,"Medium-Sized","Married",2,2,3,3,3,2,4,2,2,4,2,2,2,3,3,3,3,2,2,3,4,3,3,3,4,5,2,3,4,1,4,3,5,2,3,2,1,4,3,4,2,4,1,1,1,1,1,"yes","yes",3,3,3.1,1
"703","Italy",0.887,"Very high human development",19,"Male","No","high","student",NA,"",0,0,"Small Town","Single",0,0,5,1,1,1,2,1,1,1,2,1,1,2,5,1,2,2,1,3,1,1,2,1,1,1,3,3,3,1,2,3,4,1,2,3,2,1,2,2,3,4,5,5,4,3,4,"no","yes",2,2,2.2,4.2
"704","Italy",0.887,"Very high human development",28,"Female","No","dip","student",NA,"",0,0,"Small Town","Single",0,0,5,5,5,5,5,4,4,5,4,3,5,5,3,3,4,5,5,5,3,4,4,4,4,4,4,2,2,5,3,4,4,4,2,4,4,4,4,3,4,4,3,4,3,2,2,"yes","yes",5,4,3.65,2.8
"705","Italy",0.887,"Very high human development",55,"Female","No","phd","retired",67500,"Retired",0,3,"Large-City","Married",0,0,4,4,5,4,4,1,3,4,4,4,4,5,4,3,4,2,3,4,3,4,4,4,2,3,5,5,2,5,1,2,1,4,2,3,4,4,3,4,3,4,2,1,1,2,2,"yes","yes",4.2,3,3.25,1.6
"706","Italy",0.887,"Very high human development",55,"Male","Yes","ma","student",67500,"Educator",28,0,"Large-City","Married",2,2,4,3,3,1,2,3,4,5,4,4,4,4,5,5,5,2,4,2,2,2,4,1,4,2,4,3,3,5,4,1,3,5,4,2,5,3,3,4,3,4,4,4,4,4,2,"yes","yes",2.6,4,3.35,3.6
"707","Italy",0.887,"Very high human development",55,"Female","Yes","ltuni","full-time",NA,"Educator",10,0,"Small Town","Divorced",0,1,4,2,3,2,2,1,1,1,2,2,3,3,1,1,1,3,2,2,1,1,5,2,2,1,3,2,4,4,4,1,4,2,1,2,3,2,3,5,4,4,4,3,2,3,2,"yes","yes",2.6,2,2.9,2.8
"708","Italy",0.887,"Very high human development",55,"Male","Yes","ma","full-time",250000,"Entrepreneur",10,0,"Large-City","Married",2,0,2,2,2,2,2,5,2,2,3,3,1,2,3,1,3,1,2,1,1,5,3,1,2,1,1,5,2,5,2,1,4,2,2,2,3,3,2,2,1,2,3,2,2,3,3,"no","no",2,2,2.3,2.6
"709","Italy",0.887,"Very high human development",45,"Male","No","phd","full-time",150000,"Financial Advisor",4,0,"Large-City","Separated",0,0,3,4,4,3,3,3,2,3,3,3,4,5,3,3,4,3,2,3,1,2,3,1,3,2,3,1,3,4,3,1,4,3,1,2,3,5,3,2,2,4,5,4,3,2,4,"yes","yes",3.4,3,2.65,3.6
"710","Italy",0.887,"Very high human development",28,"Male","No","ma","full-time",25000,"Financial Advisor",6,0,"Large Town","Single",0,0,3,3,2,2,2,1,1,1,3,2,3,1,2,2,2,2,2,1,2,2,3,1,2,2,1,2,1,2,2,1,1,2,1,2,3,2,1,3,3,2,2,3,3,3,1,"yes","no",2.4,2,1.85,2.4
"711","Italy",0.887,"Very high human development",67,"Male","Yes","ma","retired",25000,"",2,0,"Large-City","Separated",0,2,5,4,3,1,1,1,1,3,2,2,1,1,1,1,1,2,2,5,1,1,2,1,1,2,3,1,3,5,5,1,4,3,1,1,3,5,4,4,4,5,4,2,3,1,2,"yes","yes",2.8,2,2.9,2.4
"712","Italy",0.887,"Very high human development",16,"Female","No","high","student",NA,"",0,0,"Large Town","Single",0,0,2,4,2,4,1,2,3,1,2,3,2,3,3,3,3,4,4,4,4,2,4,2,4,3,3,2,3,3,3,4,3,3,2,2,3,3,2,3,3,2,3,2,3,2,2,"yes","yes",2.6,3,2.85,2.4
"713","Italy",0.887,"Very high human development",7,"Male","No","lthigh","student",10000,"",10,5,"Small City","Single",0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,1,4,1,2,3,1,1,3,3,2,2,5,1,5,1,3,3,2,5,3,1,3,3,2,3,5,5,4,5,"yes","yes",3,3,2.6,4.4
"714","Italy",0.887,"Very high human development",37,"Female","Yes","phd","part-time",250000,"Educator",4,0,"Large-City","Married",1,0,4,4,4,4,4,3,3,3,3,3,3,3,4,3,3,3,3,3,1,5,4,3,3,3,3,3,3,4,4,5,3,4,3,2,5,4,4,4,4,3,3,3,3,3,2,"yes","",4,3,3.55,2.8
"715","Italy",0.887,"Very high human development",25,"Male","No","deg","student",10000,"",5,6,"Large-City","Single",0,0,2,3,4,4,3,2,2,2,3,3,3,1,2,4,4,4,2,5,1,2,3,1,3,3,4,2,3,3,4,1,5,2,3,2,2,4,2,3,3,2,2,2,2,3,1,"no","yes",3.2,3,2.75,2
"716","Italy",0.887,"Very high human development",24,"Male","No","dip","student",10000,"",NA,0,"Small Town","Single",0,0,1,4,1,1,2,1,3,3,3,2,1,4,4,4,2,4,4,2,5,2,3,1,1,4,3,3,3,1,4,2,1,4,2,2,3,5,5,2,3,2,4,3,3,4,2,"yes","yes",1.8,3,2.7,3.2
"717","Italy",0.887,"Very high human development",55,"Female","No","ma","full-time",87500,"Manager",17,0,"Large-City","Widowed",0,0,2,2,2,1,2,2,3,3,3,3,1,1,3,2,3,2,3,4,1,3,3,3,4,5,4,3,2,2,2,2,4,2,3,2,3,3,3,3,3,3,4,3,4,4,4,"no","no",1.8,2,2.95,3.8
"718","Italy",0.887,"Very high human development",45,"Male","Yes","deg","full-time",250000,"Financial Advisor",23,0,"Large-City","Married",1,1,5,5,5,5,5,1,1,1,5,4,4,2,2,2,3,1,1,1,1,2,2,3,1,5,1,1,4,1,1,1,5,1,1,1,2,3,2,4,5,1,1,1,1,1,1,"no","no",5,2,2.25,1
"719","Italy",0.887,"Very high human development",55,"","Yes","deg","full-time",150000,"Manager",4,0,"Small City","Married",0,2,3,2,3,2,2,2,3,3,2,3,4,4,4,3,4,3,3,2,5,2,3,2,3,4,2,2,2,3,2,4,4,2,2,3,4,3,3,3,2,3,3,3,3,3,2,"yes","yes",2.4,3,2.8,2.8
"720","Italy",0.887,"Very high human development",55,"Male","Yes","phd","full-time",150000,"",0,0,"Small Town","Separated",2,0,3,3,1,2,2,1,1,5,3,3,4,1,3,1,3,1,2,1,2,4,4,2,2,4,1,1,4,2,4,2,2,5,1,1,3,5,2,4,3,4,3,5,4,4,2,"yes","no",2.2,2,2.8,3.6
"721","Italy",0.887,"Very high human development",22,"Male","No","dip","student",NA,"",NA,0,"Small Town","Single",0,0,4,4,4,4,4,4,4,4,4,4,4,5,4,5,5,3,5,4,5,5,5,1,1,5,5,2,4,4,4,5,5,4,3,2,5,5,4,5,5,5,2,4,1,2,2,"yes","yes",4,4,3.95,2.2
"722","Italy",0.887,"Very high human development",28,"Male","No","ma","full-time",35000,"Dentist",3,0,"Large-City","Single",0,0,4,4,4,4,4,2,5,2,4,5,5,4,2,5,5,3,5,4,5,5,4,4,4,4,4,2,4,5,5,5,4,4,4,4,3,4,4,2,4,2,2,3,2,2,2,"yes","yes",4,4,3.8,2.2
"723","Italy",0.887,"Very high human development",45,"Male","Yes","phd","full-time",150000,"Manager",8,6,"Large-City","Divorced",2,0,4,5,5,3,4,5,5,5,4,5,1,5,5,1,4,5,5,5,1,4,1,3,5,5,1,4,4,5,4,2,1,4,5,4,5,5,4,4,4,4,3,4,3,4,1,"yes","yes",4.2,4,3.7,3
"724","Italy",0.887,"Very high human development",21,"Female","No","ltuni","student",10000,"",0,0,"Small Town","",0,0,5,4,1,3,3,1,4,3,5,4,2,2,3,4,4,3,5,4,5,2,4,3,2,5,4,4,4,3,4,4,2,4,3,3,4,3,3,4,4,4,4,3,4,2,4,"yes","",3.2,3,3.55,3.4
"725","Italy",0.887,"Very high human development",45,"Male","No","grade","full-time",150000,"Director",7,0,"Large-City","Single",0,0,4,4,4,3,3,3,2,2,3,3,3,4,4,3,4,3,3,3,4,3,3,2,3,3,3,2,4,3,5,4,3,4,3,3,4,3,3,4,3,3,3,3,3,3,1,"yes","yes",3.6,3,3.25,2.6
"726","Italy",0.887,"Very high human development",67,"Male","Yes","ma","retired",67500,"",0,0,"Medium-Sized","Married",1,10,4,3,3,2,2,1,1,2,2,1,4,1,2,1,1,1,1,4,1,2,2,1,2,2,4,2,2,2,3,2,4,2,2,2,2,3,2,3,1,3,4,4,4,4,3,"yes","no",2.8,2,2.3,3.8
"727","Italy",0.887,"Very high human development",28,"Female","No","deg","full-time",10000,"Doctor; Physician",1,0,"Medium-Sized","Single",0,0,5,5,5,2,3,1,2,2,2,2,2,1,3,3,2,4,2,4,1,1,2,2,3,5,1,2,2,4,2,4,4,2,2,3,4,5,4,3,2,2,2,1,1,4,2,"yes","yes",4,2,2.9,2
"728","Italy",0.887,"Very high human development",67,"Female","Yes","ma","retired",87500,"President Nongovernmental Organization",4,6,"Large Town","Married",2,1,3,3,2,2,3,1,1,3,1,3,3,3,3,2,3,2,1,2,1,2,3,2,2,1,2,3,3,3,3,2,1,3,2,2,3,2,1,3,2,3,4,4,4,4,4,"yes","yes",2.6,2,2.3,4
"729","Italy",0.887,"Very high human development",37,"Male","Yes","deg","full-time",55000,"Self-employed Translator",0,0,"Large-City","Married",1,0,4,2,5,3,3,2,5,4,1,3,2,5,5,3,3,4,5,3,4,2,4,1,3,4,2,3,3,5,5,4,1,4,1,2,3,4,4,4,3,4,2,3,3,2,4,"yes","yes",3.4,3,3.2,2.8
"730","Italy",0.887,"Very high human development",37,"Male","Yes","deg","full-time",NA,"",10,0,"Rural/Country","Married",1,1,4,5,5,4,4,3,5,5,5,5,5,5,4,4,5,4,5,2,5,5,5,4,3,2,3,3,3,4,4,5,4,4,4,5,5,5,4,5,4,4,4,4,4,4,3,"yes","yes",4.4,4,4,3.8
"731","Italy",0.887,"Very high human development",80,"Female","Yes","deg","retired",15000,"",0,0,"Rural/Country","Widowed",4,1,3,2,1,1,1,1,1,4,1,1,1,1,3,1,1,1,2,3,1,1,2,1,3,1,4,1,1,1,2,1,2,2,1,1,3,1,1,1,1,2,5,5,5,5,4,"no","no",1.6,2,1.6,4.8
"732","Italy",0.887,"Very high human development",16,"Female","No","lthigh","student",NA,"",0,0,"Large Town","Single",0,0,4,4,5,5,5,2,5,5,5,5,5,5,5,1,5,2,5,5,1,1,5,4,5,5,5,3,4,5,5,5,2,5,1,4,5,5,5,5,5,5,1,1,1,1,1,"yes","yes",4.6,4,4.4,1
"733","Italy",0.887,"Very high human development",45,"Male","No","phd","full-time",67500,"Attorney",17,9,"Large-City","Married",0,0,3,4,4,1,1,2,3,5,4,3,3,4,4,2,2,4,4,3,4,2,4,5,4,2,4,4,4,4,4,2,2,5,2,4,5,5,4,4,4,5,4,4,3,2,3,"yes","yes",2.6,3,3.85,3.2
"734","Italy",0.887,"Very high human development",80,"Male","Yes","ltuni","retired",250000,"",0,0,"Medium-Sized","Married",0,5,4,4,4,2,2,1,1,3,2,2,1,1,2,2,2,1,1,3,2,1,1,1,2,1,3,1,4,3,1,1,5,1,4,5,2,4,3,4,4,3,5,4,4,5,5,"yes","yes",3.2,2,2.65,4.6
"735","Italy",0.887,"Very high human development",67,"Female","Yes","ltuni","retired",NA,"Houswife",30,0,"Large-City","Married",0,4,5,4,4,1,1,4,2,3,3,2,2,3,3,2,1,1,2,5,1,2,4,4,1,1,3,4,2,4,2,1,3,3,3,4,4,1,2,2,3,3,4,5,2,4,2,"yes","yes",3,2,2.7,3.4
"736","Italy",0.887,"Very high human development",45,"Female","Yes","ma","full-time",25000,"Operational Coordinator",10,0,"Medium-Sized","Married",1,1,1,1,1,1,1,4,5,4,4,3,5,3,4,3,3,3,4,3,5,3,4,2,4,5,4,1,1,1,3,4,1,2,2,2,4,3,3,3,2,1,5,5,5,5,4,"no","yes",1,4,2.6,4.8
"737","Italy",0.887,"Very high human development",32,"Male","No","ma","full-time",25000,"",3,8,"Small Town","Single",0,0,3,4,2,3,3,1,2,2,3,4,5,5,3,4,4,3,2,3,1,1,4,4,3,5,3,2,3,3,3,4,3,3,2,2,4,5,3,4,5,4,2,3,2,3,3,"yes","yes",3,3,3.45,2.6
"738","Italy",0.887,"Very high human development",45,"Female","No","ltuni","part-time",10000,"Educator",13,0,"Large-City","Married",0,0,5,5,5,3,3,2,2,5,3,3,4,4,4,4,4,2,3,2,5,2,5,1,3,5,5,2,5,5,5,3,1,5,3,3,4,5,4,5,5,5,2,3,1,3,1,"yes","yes",4.2,3,3.95,2
"739","Italy",0.887,"Very high human development",28,"Male","Yes","high","unemployed",55000,"",10,0,"Medium-Sized","Single",4,3,1,1,1,1,1,5,5,5,1,1,1,1,5,1,1,5,5,5,1,1,1,1,5,5,1,5,1,5,1,1,5,1,5,5,5,1,1,5,1,5,1,1,1,1,1,"yes","yes",1,3,3,1
"740","Italy",0.887,"Very high human development",28,"Female","No","ltuni","full-time",15000,"Educator",14,0,"Large Town","Married",0,0,5,4,5,5,5,5,5,4,5,5,5,5,1,2,5,5,5,4,1,4,3,1,5,1,2,5,5,5,1,1,1,5,1,1,1,4,4,2,5,5,1,1,1,1,2,"yes","yes",4.8,4,2.9,1.2
"741","Italy",0.887,"Very high human development",37,"Female","No","deg","student",15000,"",5,0,"Medium-Sized","Single",0,0,3,3,3,2,1,2,3,2,3,3,4,3,3,2,4,1,2,2,3,3,3,3,3,4,3,3,3,2,2,2,4,2,2,1,4,3,3,3,1,2,2,3,3,2,1,"no","yes",2.4,3,2.65,2.2
"742","Italy",0.887,"Very high human development",21,"Female","No","ltuni","student",NA,"",0,0,"Small Town","Single",0,0,3,4,4,3,3,1,1,2,3,2,1,5,3,2,4,4,2,4,1,3,4,3,2,4,2,3,3,4,3,1,3,4,2,2,5,5,4,4,5,4,3,3,3,1,2,"yes","yes",3.4,3,3.35,2.4
"743","Italy",0.887,"Very high human development",16,"Female","No","lthigh","student",NA,"",NA,0,"Large-City","Single",0,0,4,4,5,5,4,2,1,2,5,4,5,4,1,4,5,2,1,2,5,4,5,4,1,2,5,2,5,2,5,4,1,4,1,2,1,4,5,2,5,2,4,5,5,4,5,"yes","",4.4,3,3.1,4.6
"744","Italy",0.887,"Very high human development",55,"Male","Yes","phd","full-time",67500,"",10,0,"Large-City","Married",0,2,5,5,2,4,4,1,1,2,2,2,4,1,2,3,2,4,1,5,1,3,3,1,2,3,4,1,3,2,2,5,4,1,1,2,3,2,1,3,3,3,4,1,1,2,2,"yes","yes",4,2,2.45,2
"745","Italy",0.887,"Very high human development",55,"Male","Yes","ma","full-time",150000,"Educator",23,0,"Large-City","Married",1,1,4,4,4,4,4,2,3,3,3,3,2,4,4,4,4,5,3,4,2,4,4,3,4,3,2,4,4,4,4,3,3,4,3,4,4,4,4,4,3,4,3,3,4,4,4,"yes","yes",4,3,3.6,3.6
"746","Italy",0.887,"Very high human development",16,"Male","No","lthigh","student",NA,"",0,0,"Large-City","Single",0,0,3,3,3,1,2,1,2,3,2,2,1,2,2,2,2,1,1,1,4,1,2,2,1,2,1,1,2,2,3,1,2,3,1,3,3,4,4,3,3,3,2,3,3,3,3,"yes","no",2.4,2,2.3,2.8
"747","Italy",0.887,"Very high human development",22,"Female","No","ltuni","student",NA,"",0,0,"Large-City","Single",0,0,2,4,4,4,4,3,4,4,4,4,4,5,4,3,3,4,3,3,2,3,4,4,4,5,4,4,4,4,5,3,2,3,2,2,4,4,4,4,5,4,2,3,3,2,1,"yes","yes",3.6,4,3.75,2.2
"748","Italy",0.887,"Very high human development",55,"Female","No","ltuni","part-time",10000,"Educator",14,0,"Small City","Married",0,0,5,5,5,3,3,2,3,5,4,4,5,3,4,4,4,2,4,3,5,2,5,1,4,5,5,1,5,5,5,1,5,5,2,3,4,5,4,4,5,5,2,3,1,2,1,"yes","yes",4.2,4,3.95,1.8
"749","Italy",0.887,"Very high human development",55,"Female","Yes","ma","full-time",25000,"",NA,0,"Village","Married",1,1,2,2,4,3,3,1,1,1,4,2,3,2,2,3,2,2,2,4,2,3,2,3,2,2,3,3,3,4,3,2,3,3,1,3,4,4,2,2,2,2,3,3,3,4,3,"no","no",2.8,2,2.65,3.2
"750","Italy",0.887,"Very high human development",37,"Female","No","ma","",NA,"",6,0,"Rural/Country","Single",0,0,4,4,4,4,2,4,5,5,5,4,5,4,4,4,5,4,5,3,4,4,5,4,4,3,5,2,3,5,5,5,2,5,4,3,5,5,5,4,5,5,3,3,2,2,2,"yes","no",3.6,4,4.2,2.4
"751","Italy",0.887,"Very high human development",19,"Female","No","high","student",NA,"",0,0,"Small Town","Single",0,0,4,5,5,4,4,2,4,2,5,5,5,5,3,5,5,1,5,5,5,2,5,4,5,5,5,5,3,5,4,5,1,5,2,3,4,5,5,4,5,3,1,3,2,1,1,"yes","yes",4.4,4,4.15,1.6
"752","Italy",0.887,"Very high human development",67,"Male","Yes","phd","full-time",250000,"Free Professionist",30,0,"Small City","Married",1,7,3,2,3,2,2,1,1,2,1,1,4,2,3,2,2,5,5,1,1,1,3,1,3,3,2,2,1,3,3,5,5,1,5,5,4,3,2,3,4,2,1,4,4,3,3,"yes","no",2.4,2,3,3
"753","Italy",0.887,"Very high human development",45,"Male","Yes","ma","full-time",55000,"Agronomist",10,0,"Medium-Sized","Married",1,0,2,2,2,2,3,3,3,3,4,4,4,4,1,1,5,5,5,5,5,5,5,1,5,5,5,1,5,5,1,1,5,2,3,2,1,4,3,4,1,4,4,2,1,2,3,"yes","yes",2.2,4,3.15,2.4
"754","Italy",0.887,"Very high human development",45,"Male","Yes","ma","full-time",NA,"",2,0,"Medium-Sized","Married",2,0,4,4,4,3,3,2,2,2,3,3,3,2,3,2,2,4,3,2,2,3,3,2,2,2,2,2,2,3,3,4,4,3,2,3,3,3,3,2,3,2,3,2,3,3,2,"yes","no",3.6,3,2.65,2.6
"755","Italy",0.887,"Very high human development",45,"Male","No","phd","full-time",35000,"",3,0,"Large-City","Single",0,0,3,3,3,3,3,1,1,1,2,2,3,2,3,3,2,4,2,4,1,1,3,3,4,4,2,2,3,3,4,3,2,3,2,3,2,4,4,2,3,4,2,2,3,3,2,"yes","no",3,2,3,2.4
"756","Italy",0.887,"Very high human development",28,"Female","No","high","student",10000,"",28,0,"Small City","Single",0,0,4,2,4,5,3,1,1,4,3,3,1,5,3,1,3,1,1,2,1,2,4,1,1,3,1,3,2,4,1,1,2,5,1,1,3,4,3,3,5,4,4,4,3,3,4,"no","yes",3.6,2,2.6,3.6
"757","Italy",0.887,"Very high human development",28,"Female","Yes","ltuni","student",NA,"",0,0,"Small City","Separated",0,1,5,5,3,2,3,4,4,4,2,5,5,5,5,5,5,3,4,4,3,5,5,4,2,5,2,5,4,3,4,2,2,5,4,4,5,3,4,5,5,4,5,1,1,1,1,"yes","yes",3.6,4,3.85,1.8
"758","Italy",0.887,"Very high human development",19,"Female","No","ltuni","student",NA,"",0,0,"Village","Single",0,0,4,5,1,2,2,2,4,5,4,4,2,4,5,5,5,2,5,3,5,2,5,3,3,3,3,1,5,3,5,5,2,5,3,2,5,4,4,5,3,5,3,3,3,2,3,"yes","yes",2.8,4,3.7,2.8
"759","Italy",0.887,"Very high human development",25,"Male","No","deg","student",NA,"",2,0,"Small City","Single",0,0,4,5,5,5,5,2,1,5,4,4,5,3,5,5,3,4,2,4,1,3,4,5,3,5,4,3,4,5,4,4,2,4,2,3,5,5,5,4,4,5,3,3,4,4,3,"yes","no",4.8,3,4,3.4
"760","Italy",0.887,"Very high human development",20,"Female","No","high","student",10000,"",2,2,"Medium-Sized","Single",0,0,4,4,5,3,3,1,5,2,5,5,1,3,3,3,5,2,5,3,5,2,3,4,4,5,3,5,3,5,4,5,5,5,2,5,5,5,5,4,3,5,1,1,1,1,2,"yes","yes",3.8,3,4.25,1.2
"761","Italy",0.887,"Very high human development",55,"Male","Yes","deg","full-time",67500,"Manager",7,0,"Medium-Sized","Married",1,1,2,2,4,2,2,2,4,4,2,1,2,2,5,3,2,1,3,4,2,1,2,1,2,1,4,3,3,3,2,2,3,2,3,4,3,2,2,3,2,4,4,4,4,4,4,"yes","no",2.4,3,2.55,4
"762","Italy",0.887,"Very high human development",24,"Male","No","deg","student",10000,"",NA,0,"Medium-Sized","Single",0,0,4,3,2,2,2,1,1,2,3,4,5,4,4,4,4,2,1,1,1,2,4,1,2,2,1,1,4,2,4,1,4,4,1,1,4,4,2,4,4,3,3,3,2,3,4,"yes","yes",2.6,3,2.65,3
"763","Italy",0.887,"Very high human development",32,"Female","No","ltuni","unemployed",NA,"",0,0,"Small City","Single",0,0,4,4,4,4,4,2,4,5,5,4,5,4,4,2,5,3,3,4,1,5,4,2,3,3,4,5,4,4,4,2,3,4,3,4,4,2,3,4,5,4,4,2,1,1,5,"yes","no",4,4,3.55,2.6
"764","Italy",0.887,"Very high human development",45,"Female","No","deg","full-time",55000,"Financial Controller",7,0,"Small City","Single",0,0,5,5,5,3,3,1,4,4,5,5,4,5,5,4,5,5,5,2,5,4,5,3,4,5,4,2,4,5,4,5,5,2,4,4,5,5,4,5,4,2,1,2,1,2,1,"yes","yes",4.2,4,4.05,1.4
"765","Italy",0.887,"Very high human development",45,"Female","No","ma","part-time",67500,"Interpreter",14,0,"Large-City","Divorced",0,0,5,4,3,1,3,1,1,1,1,1,1,1,1,5,1,3,1,3,1,1,4,1,1,1,1,4,3,1,5,1,1,2,1,1,3,2,1,4,5,3,5,5,4,5,5,"no","no",3.2,2,2.25,4.8
"766","Italy",0.887,"Very high human development",37,"Male","No","ma","full-time",25000,"",0,0,"Medium-Sized","Single",0,0,1,1,3,3,2,1,1,2,1,1,1,1,1,1,1,1,5,2,1,3,2,1,1,1,1,2,1,3,2,1,5,1,1,3,1,3,1,3,1,1,2,3,2,2,3,"no","no",2,2,1.75,2.4
"767","Italy",0.887,"Very high human development",28,"Female","No","ma","student",15000,"",3,0,"Large-City","Single",0,0,3,5,3,3,2,4,2,3,3,3,3,5,1,3,3,3,5,5,1,5,5,2,4,3,3,1,5,3,5,5,3,3,3,3,3,5,5,4,5,4,5,2,2,3,3,"yes","yes",3.2,3,3.7,3
