"","Age","Gender","Kids","Education","WorkStatus","AnnIncome","Occupation","TenureY","TenureM","CommSize","Country","Marital","Sons","Daughters","DP1","DP2","DP3","DP4","DP5","AIP1","AIP2","AIP3","AIP4","AIP5","AIP6","AIP7","AIP8","AIP9","AIP10","AIP11","AIP12","AIP13","AIP14","AIP15","GP1","GP2","GP3","GP4","GP5","GP6","GP7","GP8","GP9","GP10","GP11","GP12","GP13","GP14","GP15","GP16","GP17","GP18","GP19","GP20","SWLS1","SWLS2","SWLS3","SWLS4","SWLS5","SelfP","OthersP","DPMean","AIPMean","GPMean","SWLSMean"
"1222",55,"Male","Yes","deg","retired",87500,"Retired",3,0,"Small Town","United States","Married",0,3,4,4,3,3,3,2,2,3,2,3,3,2,3,3,2,2,2,2,2,4,4,3,2,1,2,2,2,3,4,2,4,3,3,2,3,3,2,4,4,3,3,3,3,3,1,"yes","no",3.4,2,2.8,2.6
"1223",19,"Male","No","ltuni","student",NA,"",0,0,"Large Town","United States","Single",0,0,3,3,3,2,2,1,1,2,3,3,2,2,4,2,3,3,3,4,2,1,3,1,1,1,3,3,3,2,2,3,2,4,3,2,3,4,3,5,4,2,4,4,4,4,4,"yes","yes",2.6,2,2.7,4
"1224",28,"Male","No","deg","full-time",55000,"Project Manager",1,6,"Medium-Sized","United States","Single",0,0,2,3,4,3,3,2,1,4,2,2,2,2,4,2,1,3,2,4,1,3,3,3,2,2,4,3,3,4,1,3,4,2,4,4,2,4,3,3,3,3,3,4,4,2,1,"yes","no",3,2,3,2.8
"1225",67,"Male","Yes","ma","retired",250000,"Retired",7,0,"Rural/Country","United States","Married",2,0,1,1,1,1,1,1,1,5,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,4,5,5,5,3,"no","no",1,1,1.1,4.4
"1226",37,"Female","No","ma","full-time",45000,"Educator",6,0,"Large-City","United States","Divorced",0,0,3,3,2,3,3,1,1,5,3,3,3,2,3,2,4,1,2,1,2,3,2,1,5,3,3,1,3,3,4,1,4,3,1,1,4,1,1,3,1,2,3,3,3,4,2,"yes","no",2.8,2,2.35,3
"1227",45,"Male","Yes","phd","full-time",87500,"Scientist",8,0,"Large-City","United States","Married",1,0,4,3,3,3,4,2,2,4,4,5,3,4,4,4,4,2,3,3,2,4,4,5,4,3,2,2,4,4,4,4,4,4,4,3,3,4,3,5,5,4,3,4,3,2,2,"yes","yes",3.4,3,3.75,2.8
"1228",37,"Male","No","phd","full-time",250000,"Associate",0,3,"Large-City","United States","Single",0,0,4,3,3,3,3,2,1,4,1,3,3,1,3,4,3,3,1,2,1,3,3,1,1,2,3,2,3,4,4,1,1,4,2,3,3,5,3,4,3,3,3,3,3,3,3,"yes","no",3.2,2,2.75,3
"1229",55,"Male","Yes","ma","full-time",150000,"Director",1,0,"Small Town","United States","Married",2,0,3,1,2,2,2,1,1,3,3,2,1,3,3,2,3,3,2,3,2,3,3,1,2,3,3,2,2,2,2,2,3,2,2,2,3,3,3,2,3,3,4,4,3,4,3,"yes","yes",2,2,2.4,3.6
"1230",28,"Female","No","deg","full-time",45000,"Restaurant Operations Manager",3,6,"Medium-Sized","United States","Single",0,0,5,3,4,5,5,2,3,5,4,4,4,4,4,4,4,3,4,2,4,4,4,3,3,2,4,2,4,4,4,4,4,4,3,3,4,3,3,4,2,3,2,2,3,2,2,"yes","yes",4.4,4,3.35,2.2
"1231",37,"Female","Yes","ma","full-time",87500,"Research Scientist",0,1,"Small City","United States","Divorced",0,1,2,2,2,2,2,4,2,5,4,4,3,4,4,2,4,4,2,2,2,4,4,3,2,5,5,4,2,1,2,5,2,2,4,4,2,4,4,2,4,2,4,4,4,4,4,"yes","no",2,3,3.15,4
"1232",16,"Female","No","lthigh","student",NA,"",12,0,"Large-City","United States","",0,0,4,4,5,4,4,3,3,3,4,3,3,2,4,2,3,3,4,3,2,3,4,2,5,5,2,2,4,5,5,2,4,4,3,5,4,5,2,3,4,4,2,3,4,3,3,"yes","yes",4.2,3,3.7,3
"1233",55,"Male","Yes","ma","full-time",67500,"Labor Relations Specialist",3,0,"Small City","United States","Married",1,0,4,2,4,3,3,2,1,5,5,3,3,3,4,3,4,2,2,2,1,4,4,2,3,3,2,3,4,4,5,2,2,4,4,3,4,4,3,4,4,3,2,3,2,3,2,"yes","yes",3.2,3,3.35,2.4
"1234",67,"Female","Yes","ma","retired",250000,"",0,0,"Small City","United States","Married",1,1,4,4,4,3,3,1,3,2,4,4,5,4,4,3,4,3,4,3,4,4,4,2,2,3,4,3,4,4,4,4,4,4,3,3,4,4,4,4,4,4,2,2,2,3,1,"yes","no",3.6,3,3.6,2
"1235",55,"Female","Yes","deg","full-time",87500,"Financial Advisor",1,6,"Large Town","United States","Married",0,3,3,4,3,3,3,2,1,1,3,3,2,2,3,3,3,2,3,4,2,3,3,2,3,2,4,3,4,3,4,2,2,3,2,3,3,4,4,3,3,4,2,2,2,2,2,"yes","yes",3.2,2,3.05,2
"1236",55,"Female","Yes","phd","full-time",150000,"Attorney",14,0,"Medium-Sized","United States","Divorced",2,1,3,4,3,3,2,3,3,1,5,4,5,4,4,5,5,3,3,4,5,5,5,3,2,2,4,3,5,3,5,4,3,4,1,2,3,2,2,4,5,3,2,2,3,3,2,"yes","yes",3,4,3.25,2.4
"1237",45,"Female","Yes","phd","full-time",25000,"Educator",30,0,"Small City","United States","Married",2,0,2,3,3,3,2,1,1,3,2,1,1,2,2,1,1,1,1,3,2,2,2,2,2,2,2,1,2,3,2,2,4,2,1,2,2,3,2,3,3,2,4,4,4,4,4,"no","no",2.6,2,2.2,4
"1238",19,"Female","No","ltuni","unemployed",10000,"",0,0,"Medium-Sized","United States","Single",0,0,3,4,5,3,3,2,1,4,1,3,4,3,5,2,4,3,2,4,1,2,5,1,5,5,1,4,5,5,5,2,3,5,3,5,5,4,4,1,5,5,1,1,2,2,1,"yes","yes",3.6,3,3.9,1.4
"1239",45,"Female","No","phd","full-time",150000,"",6,0,"Large-City","United States","Separated",0,0,3,2,2,2,2,3,2,2,4,3,3,3,3,2,2,3,2,4,3,3,3,2,2,2,4,2,3,3,3,3,4,4,3,2,4,5,4,4,4,1,4,4,4,4,4,"yes","yes",2.2,3,3.1,4
"1240",37,"Female","No","ma","full-time",55000,"Tv News Executive Producer",1,11,"Small City","United States","Married",0,0,2,2,2,3,3,1,5,5,5,3,4,4,3,3,3,4,5,4,4,3,3,1,2,5,4,3,4,3,4,2,4,3,2,4,4,4,3,3,4,5,3,2,3,3,2,"yes","yes",2.4,4,3.35,2.6
"1241",28,"Male","No","deg","full-time",35000,"Educator",4,0,"Medium-Sized","United States","Married",0,0,3,3,4,3,3,1,2,5,4,3,4,3,3,2,3,2,3,1,3,4,3,3,3,3,3,3,3,3,4,1,2,4,1,2,3,4,4,3,4,3,3,4,3,3,3,"yes","yes",3.2,3,2.95,3.2
"1242",55,"Female","No","ma","full-time",87500,"Librarian",0,8,"Large-City","United States","Married",0,0,3,4,4,4,4,4,2,2,4,4,4,4,4,3,4,5,3,4,2,4,4,4,3,4,3,4,3,4,4,2,2,4,5,5,4,4,3,4,4,4,3,3,3,4,1,"yes","yes",3.8,4,3.7,2.8
"1243",16,"Female","No","lthigh","student",NA,"",0,0,"Large-City","United States","Single",0,0,4,4,4,3,3,3,2,5,5,4,3,5,4,5,4,4,4,4,5,3,5,1,3,3,4,3,4,4,4,5,4,4,3,3,5,5,4,4,5,2,4,3,3,3,4,"yes","yes",3.6,4,3.75,3.4
"1244",28,"Female","No","deg","student",10000,"",0,0,"Medium-Sized","United States","Single",0,0,3,3,3,3,2,1,3,2,3,3,3,5,4,3,3,2,3,3,2,2,3,2,2,4,2,1,3,3,4,2,2,3,1,2,4,3,2,4,4,4,3,3,3,3,2,"yes","yes",2.8,3,2.75,2.8
"1245",45,"Male","Yes","phd","full-time",150000,"First Vp & Associate General Counsel",1,7,"Small Town","United States","Divorced",1,1,3,3,4,3,3,1,5,5,5,4,1,5,5,5,5,5,3,4,5,4,4,3,3,3,3,4,4,4,4,2,4,5,2,4,5,5,3,5,5,5,2,3,2,5,2,"yes","yes",3.2,4,3.85,2.8
"1246",32,"Female","No","ma","full-time",45000,"Coordinator Of International Programs",0,1,"Large-City","United States","Separated",0,0,3,3,3,2,2,2,2,3,3,3,1,1,3,3,3,2,3,2,3,1,3,2,2,4,2,4,2,3,2,3,3,3,3,2,3,4,4,3,4,3,1,1,1,1,5,"yes","no",2.6,2,2.95,1.8
"1247",32,"Female","No","ma","full-time",150000,"Chief Of Staff",2,0,"Medium-Sized","United States","Single",0,0,2,2,2,2,2,1,1,3,3,2,1,3,2,1,2,3,2,1,2,1,2,1,2,2,3,1,1,2,2,2,3,2,2,2,2,5,5,2,2,2,4,4,4,4,2,"no","no",2,2,2.25,3.6
"1248",45,"Female","No","deg","part-time",10000,"Educator",5,0,"Medium-Sized","United States","Married",0,0,4,3,3,2,2,2,1,2,2,3,2,2,3,2,3,2,2,1,1,2,3,2,3,3,3,3,3,3,3,2,2,3,2,2,3,4,3,3,3,3,4,4,4,4,3,"yes","yes",2.8,2,2.8,3.8
"1249",55,"Female","Yes","phd","full-time",67500,"Educator",17,0,"Medium-Sized","United States","Married",1,1,4,4,4,4,4,1,1,2,3,5,3,2,4,5,4,3,3,3,2,4,5,2,3,1,5,4,5,3,5,3,2,5,1,1,4,5,5,3,5,5,5,5,5,5,5,"yes","no",4,3,3.6,5
"1250",37,"Female","Yes","deg","student",10000,"",1,8,"Large-City","United States","Married",1,0,2,4,3,3,3,3,2,3,3,4,1,4,5,4,4,5,5,5,5,5,5,5,5,5,1,4,5,4,5,5,5,5,5,5,5,5,5,4,5,3,5,5,5,5,3,"yes","no",3,4,4.55,4.6
"1251",16,"Female","No","","student",NA,"",0,0,"Rural/Country","United States","",0,0,5,2,4,4,4,3,4,5,5,5,5,5,5,2,5,3,5,3,5,3,5,3,3,5,1,3,5,5,5,2,5,5,3,4,5,5,5,5,5,5,4,4,4,5,4,"yes","yes",3.8,4,4.2,4.2
"1252",28,"Female","No","ma","full-time",55000,"Volunteer Director",1,3,"Large-City","United States","Single",0,0,3,3,3,2,2,2,1,3,2,2,2,2,3,1,2,1,1,3,2,3,3,2,1,4,5,2,3,3,4,1,2,3,2,2,3,5,5,2,3,3,4,3,5,5,4,"yes","no",2.6,2,2.9,4.2
"1253",16,"Female","No","high","student",NA,"",0,0,"Medium-Sized","United States","Single",0,0,5,5,5,5,5,2,1,3,2,4,4,5,5,4,5,3,2,3,1,5,5,4,3,5,4,5,5,5,5,2,3,5,3,3,4,3,4,5,5,5,1,1,1,1,1,"yes","yes",5,3,4.15,1
"1254",55,"Female","Yes","ma","part-time",250000,"Business Owner",1,8,"Large-City","United States","Divorced",1,0,2,1,1,1,1,1,1,2,2,1,2,1,2,1,1,1,2,1,1,2,4,1,2,1,2,2,1,2,2,1,4,2,3,2,2,2,2,2,1,2,5,5,5,5,5,"no","no",1.2,1,2,5
"1255",22,"Female","No","ltuni","part-time",10000,"Manager",2,11,"Small City","United States","Single",0,0,2,2,3,2,2,2,1,4,1,1,2,2,3,2,2,4,2,2,1,3,4,3,4,4,3,3,2,4,4,1,3,4,1,4,5,2,3,4,4,5,2,3,2,2,2,"yes","no",2.2,2,3.35,2.2
"1256",22,"Female","No","dip","student",10000,"",6,0,"Large-City","United States","Single",0,0,3,4,3,3,3,3,2,4,2,5,5,4,5,5,5,3,5,4,4,5,5,2,3,5,5,3,5,3,5,3,3,4,3,4,5,3,4,5,5,5,3,3,4,3,1,"yes","yes",3.2,4,4,2.8
"1257",55,"Male","Yes","ma","full-time",45000,"Pastor ; Life Coach  Clergy",7,0,"Small City","United States","Married",1,0,3,3,2,2,2,2,1,4,2,3,4,4,2,2,3,2,2,4,2,2,4,2,3,4,2,3,3,3,4,2,2,4,2,4,4,4,4,4,4,2,2,2,2,2,2,"yes","yes",2.4,3,3.2,2
"1258",45,"Female","Yes","deg","part-time",25000,"Educator",5,0,"Medium-Sized","United States","Divorced",1,1,4,4,4,3,3,2,3,5,4,4,1,5,4,4,4,3,4,3,4,4,4,2,4,3,2,3,4,4,4,3,4,4,3,4,4,4,4,4,4,4,3,3,3,3,3,"yes","yes",3.6,4,3.6,3
"1259",37,"Male","No","ma","full-time",67500,"Research Analyst",12,0,"Large-City","United States","Single",0,0,4,3,4,3,3,5,4,3,4,4,4,4,4,3,4,4,4,5,3,5,4,3,4,4,4,3,3,4,5,3,4,4,4,4,3,5,4,3,5,4,3,4,3,3,2,"yes","yes",3.4,4,3.85,3
"1260",37,"Male","No","phd","full-time",NA,"",14,0,"Small City","United States","Married",0,0,2,4,1,2,1,3,3,1,4,4,5,5,3,2,5,4,5,3,3,3,4,1,5,4,1,2,4,2,3,4,3,4,5,4,4,5,2,4,4,4,2,2,2,3,2,"yes","yes",2,4,3.45,2.2
"1261",20,"Female","No","ltuni","student",NA,"",2,5,"Small Town","United States","Single",0,0,4,4,4,3,3,3,3,4,4,5,3,5,5,4,4,3,4,3,4,4,4,3,3,5,3,3,4,4,5,3,5,5,3,4,5,4,4,5,3,5,3,3,2,3,3,"yes","yes",3.6,4,4,2.8
"1262",37,"Female","No","ltuni","part-time",25000,"Electronic Technician",17,0,"Small City","United States","Single",0,0,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,5,1,2,1,1,1,"yes","yes",4.8,5,4.8,1.2
"1263",28,"Female","No","deg","full-time",67500,"Editor",9,0,"Large-City","United States","Single",0,0,3,2,1,1,1,2,1,3,3,2,4,4,4,3,3,2,3,1,2,2,3,1,1,5,2,2,3,3,3,4,2,3,3,2,4,3,2,2,3,3,4,4,4,4,4,"yes","yes",1.6,3,2.7,4
"1264",45,"Female","Yes","ma","full-time",87500,"Attorney",23,0,"Small City","United States","Married",0,1,5,5,4,3,3,2,3,5,5,3,3,4,5,4,5,5,5,4,5,5,5,3,2,5,5,3,5,2,5,5,5,4,5,3,4,5,4,5,1,1,3,3,4,4,4,"yes","yes",4,4,3.85,3.6
"1265",28,"Female","No","ma","full-time",35000,"Associate Producer",2,0,"Large-City","United States","Single",0,0,3,3,3,2,2,1,1,1,1,2,1,2,2,2,2,2,2,3,1,2,3,3,2,3,3,3,2,3,3,1,2,3,1,2,3,1,2,3,3,2,3,3,3,2,2,"yes","yes",2.6,2,2.4,2.6
"1266",24,"Female","No","deg","full-time",45000,"",0,4,"Large-City","United States","Single",0,0,3,2,3,2,2,2,2,3,3,2,2,2,3,1,2,3,3,3,2,3,3,2,2,3,3,2,2,3,2,1,3,3,2,2,1,4,2,2,2,3,4,5,4,2,3,"no","no",2.4,2,2.35,3.6
"1267",37,"Female","Yes","phd","part-time",67500,"Veternarian",13,0,"Small City","United States","Married",1,1,5,4,4,4,4,2,2,5,4,4,1,4,4,4,4,3,3,4,3,3,4,3,3,2,3,3,4,3,4,4,4,4,2,3,4,5,4,5,4,5,3,3,3,4,3,"yes","yes",4.2,3,3.65,3.2
"1268",37,"Male","Yes","deg","full-time",150000,"Engineer",5,0,"Medium-Sized","United States","Married",2,0,4,5,5,5,5,4,2,5,2,4,5,5,5,3,5,5,3,4,2,4,5,3,5,2,5,4,5,5,5,5,5,5,5,5,4,5,5,5,5,3,3,3,4,4,3,"yes","yes",4.8,4,4.55,3.4
"1269",55,"Female","Yes","deg","full-time",45000,"Administrator",1,6,"Small City","United States","Married",0,2,2,2,2,1,1,2,1,5,1,1,3,1,1,1,2,2,3,2,1,4,2,1,1,3,1,5,1,3,3,2,4,2,3,2,2,3,3,3,1,3,3,3,3,3,3,"no","no",1.6,2,2.4,3
"1270",24,"Female","No","ma","full-time",45000,"",0,6,"Medium-Sized","United States","Single",0,0,2,2,2,1,1,1,4,5,5,1,1,3,4,1,2,3,5,2,5,2,3,1,2,5,2,5,2,2,2,2,5,3,4,4,4,5,4,2,2,2,5,5,5,5,5,"no","no",1.6,3,3.05,5
"1271",55,"Male","Yes","ma","full-time",87500,"Media Relations/science Writing",9,0,"Large-City","United States","Married",2,0,3,4,4,3,3,1,3,5,3,3,2,4,3,2,3,3,3,2,2,2,3,2,4,4,2,3,3,4,4,2,2,3,3,3,3,4,2,4,4,3,2,3,3,3,3,"yes","yes",3.4,3,3.1,2.8
"1272",32,"Female","Yes","ma","part-time",35000,"Buyer",7,3,"Small City","United States","Married",1,0,5,5,5,4,4,1,2,2,4,3,3,2,3,2,3,3,3,3,2,2,3,3,4,3,3,4,4,4,4,4,4,4,2,3,4,4,4,3,2,4,3,3,3,4,3,"yes","no",4.6,3,3.5,3.2
"1273",55,"Female","No","deg","full-time",87500,"Owner",23,0,"Large-City","United States","",0,0,1,1,1,1,1,1,1,3,1,1,1,1,1,1,2,1,1,1,1,1,1,1,5,5,1,5,1,1,1,1,5,2,1,1,1,3,1,2,1,1,4,4,4,4,4,"no","no",1,1,2,4
"1274",45,"Female","Yes","ltuni","full-time",45000,"University Staff",13,6,"Large-City","United States","Married",0,1,2,4,3,3,3,3,2,5,4,4,3,2,3,2,4,3,4,3,3,5,5,4,4,4,5,4,5,3,4,4,4,3,4,3,4,5,4,4,5,4,4,3,3,5,4,"yes","yes",3,3,4.1,3.8
"1275",21,"Female","No","ltuni","student",NA,"",0,0,"Small City","United States","Single",0,0,5,4,3,4,4,1,1,3,5,1,4,3,5,1,5,5,2,5,1,5,5,1,2,5,5,5,5,5,5,3,1,5,1,5,5,3,3,4,4,5,1,1,1,1,1,"yes","yes",4,3,3.85,1
"1276",67,"Female","No","ma","retired",87500,"",0,0,"Large-City","United States","Divorced",0,0,3,2,2,2,2,1,1,4,3,2,1,3,2,2,3,2,1,1,2,1,2,3,1,2,1,1,2,2,3,5,4,4,1,2,2,3,4,4,3,2,5,5,5,4,5,"yes","no",2.2,2,2.55,4.8
"1277",45,"Male","Yes","high","full-time",25000,"Landscape Designer",10,0,"Village","United States","Married",1,0,3,3,4,2,2,2,1,4,3,2,1,2,3,2,2,2,1,3,2,2,3,2,2,2,1,2,3,3,3,1,3,2,2,2,3,2,2,3,3,3,3,3,3,4,1,"yes","yes",2.8,2,2.35,2.8
"1278",80,"Male","Yes","ma","retired",55000,"",0,0,"Large Town","United States","Married",2,2,3,3,4,1,1,1,1,1,1,4,2,1,2,3,3,5,2,1,1,1,3,1,3,1,4,2,3,3,5,5,1,3,1,1,3,5,2,5,2,3,4,4,5,5,4,"yes","no",2.4,2,2.8,4.4
"1279",24,"Male","No","deg","full-time",35000,"",0,0,"Large-City","United States","Single",0,0,5,5,4,3,3,1,2,3,3,5,4,5,5,3,4,2,3,2,3,2,4,2,2,4,2,4,5,4,4,1,3,5,1,2,5,4,3,4,4,4,2,2,3,1,1,"yes","yes",4,3,3.35,1.8
"1280",45,"Male","Yes","deg","full-time",55000,"Engineer",1,1,"Large-City","United States","Married",0,1,3,3,2,3,3,3,1,3,3,4,1,2,3,3,3,3,2,4,1,5,5,2,3,2,5,2,4,3,3,2,2,3,3,3,3,4,3,4,3,4,2,4,3,4,2,"yes","no",2.8,3,3.15,3
"1281",23,"Male","No","dip","student",25000,"",0,7,"Large-City","United States","Single",0,0,5,4,3,3,3,1,3,3,4,4,2,3,4,2,4,3,4,2,4,4,5,2,3,4,2,2,4,4,5,3,4,4,1,3,4,4,4,4,4,4,3,4,4,5,3,"yes","yes",3.6,3,3.5,3.8
"1282",55,"Male","Yes","dip","full-time",150000,"",17,0,"Large Town","United States","Divorced",1,1,3,3,4,3,3,2,3,3,4,4,4,4,4,4,4,3,4,2,4,2,3,2,3,3,3,3,2,4,4,3,3,4,2,3,4,3,3,4,3,3,3,3,3,3,2,"yes","yes",3.2,3,3.1,2.8
"1283",25,"Female","No","ma","full-time",25000,"Special Projects Editor",1,5,"Small City","United States","Married",0,0,3,2,2,2,2,1,3,4,5,2,1,3,4,3,5,2,3,2,4,3,3,2,3,5,2,2,3,3,4,4,4,4,2,2,3,3,3,4,4,3,3,5,4,4,4,"yes","yes",2.2,3,3.15,4
"1284",28,"Male","No","deg","full-time",45000,"Marketing",1,4,"Large-City","United States","Single",0,0,3,3,3,2,3,1,3,4,5,2,1,3,2,1,2,4,4,4,5,4,4,4,3,5,4,3,3,2,3,2,5,5,1,3,2,3,2,2,3,2,4,4,4,4,3,"yes","no",2.8,3,3.05,3.8
"1285",55,"Female","No","deg","full-time",45000,"Free Lance Bookkeeper",7,11,"Small City","United States","Single",0,0,1,1,5,1,1,1,1,5,1,2,2,1,1,1,2,5,1,5,1,1,3,1,1,3,3,1,1,1,3,1,1,3,1,1,2,5,5,3,3,4,3,2,3,4,4,"no","no",1.8,2,2.3,3.2
"1286",37,"Female","No","dip","unemployed",35000,"",0,0,"Large-City","United States","Divorced",0,0,4,4,2,3,2,5,5,5,5,5,5,5,2,5,5,3,5,5,5,5,4,1,5,4,4,5,4,4,4,5,5,4,4,4,5,3,3,4,4,4,3,5,4,3,3,"yes","yes",3,5,4,3.6
"1287",37,"Male","No","ltuni","full-time",25000,"Manager",10,2,"Medium-Sized","United States","Single",0,0,2,2,2,2,2,1,1,2,3,2,4,2,2,1,4,2,1,2,2,2,4,1,2,3,4,1,2,2,3,1,3,4,1,1,2,2,2,2,2,2,4,4,4,3,2,"yes","no",2,2,2.2,3.4
"1288",32,"Female","No","ma","full-time",67500,"Urban Planner/economic Development Plann",3,0,"Large-City","United States","Single",0,0,4,5,4,3,3,1,2,1,4,3,4,4,4,4,3,3,2,2,3,3,4,3,3,5,4,3,5,5,5,3,3,4,3,4,4,5,5,4,4,5,2,3,2,3,1,"yes","yes",3.8,3,4.05,2.2
"1289",28,"Male","No","phd","student",25000,"",NA,0,"Large-City","United States","Single",0,0,3,3,5,3,3,1,3,5,4,2,2,3,3,2,3,4,4,3,3,1,3,1,2,5,2,3,5,3,5,3,3,3,3,3,4,3,3,2,3,4,4,4,4,4,4,"yes","yes",3.4,3,3.15,4
"1290",45,"Female","No","deg","full-time",150000,"Executive Director",7,11,"Large-City","United States","Married",0,0,5,5,5,4,4,2,3,5,4,5,5,3,5,5,5,4,4,3,3,4,5,2,3,3,4,4,5,4,5,4,4,4,3,4,4,4,3,5,4,4,3,4,3,4,3,"yes","no",4.6,4,3.9,3.4
"1291",28,"Female","No","dip","full-time",67500,"Marketing Copywriter",2,2,"Large-City","United States","Single",0,0,3,2,4,2,2,1,2,3,4,2,2,2,5,1,2,2,3,3,3,3,3,2,2,4,2,3,3,3,2,3,4,3,2,2,2,3,2,3,3,3,4,4,4,4,4,"no","no",2.6,3,2.7,4
"1292",32,"Female","No","phd","full-time",55000,"Research Scientist",3,6,"Large-City","United States","Single",0,0,4,4,3,3,3,1,2,3,5,3,1,5,4,3,4,3,4,4,4,4,5,2,2,5,1,1,5,4,4,5,5,4,1,2,5,4,2,5,4,4,4,3,4,4,3,"yes","yes",3.4,3,3.5,3.6
"1293",28,"Female","No","ma","student",NA,"",5,0,"Medium-Sized","United States","Single",0,0,3,4,4,1,1,2,3,5,5,3,5,5,2,1,4,3,4,4,3,4,5,4,2,5,3,4,4,4,5,1,3,4,4,2,4,5,5,3,5,4,5,3,4,5,4,"yes","yes",2.6,4,3.8,4.2
"1294",28,"Female","No","ltuni","full-time",25000,"",7,0,"Medium-Sized","United States","Single",0,0,3,3,4,2,2,2,2,2,2,2,1,2,3,2,2,4,3,3,2,3,3,2,2,3,4,3,3,3,4,2,4,3,3,3,4,4,3,3,3,3,4,3,4,4,5,"yes","yes",2.8,2,3.1,4
"1295",37,"Female","No","phd","full-time",45000,"Educator",3,6,"Medium-Sized","United States","Single",0,0,3,4,4,4,4,1,4,5,5,4,5,3,4,4,4,2,4,4,5,5,5,4,4,2,4,4,5,4,4,5,4,4,2,4,4,5,3,4,5,4,4,5,5,5,4,"yes","yes",3.8,4,4,4.6
"1296",45,"Female","No","phd","unemployed",150000,"Home Maker",7,0,"Small City","United States","Married",0,0,5,5,5,4,4,1,1,4,2,3,3,2,1,1,1,3,2,3,1,3,4,3,2,5,4,1,4,4,4,2,2,4,3,4,4,1,2,4,4,3,3,4,3,3,2,"yes","no",4.6,2,3.2,3
"1297",37,"Male","Yes","ma","full-time",150000,"Economist",8,0,"Rural/Country","United States","Married",1,1,2,4,3,3,3,1,1,5,3,3,2,4,4,4,4,2,3,4,3,3,4,1,4,2,4,3,4,4,4,4,4,5,3,4,4,5,5,4,5,3,4,4,3,4,2,"yes","yes",3,3,3.8,3.4
"1298",32,"Male","Yes","ltuni","full-time",45000,"Bank Teller",3,3,"Medium-Sized","United States","Separated",1,1,3,4,4,2,2,2,4,2,4,4,2,4,4,4,4,4,4,2,4,4,4,3,2,5,4,3,4,4,4,2,4,4,4,4,4,3,2,4,5,4,1,1,3,3,1,"yes","yes",3,3,3.65,1.8
"1299",55,"Male","Yes","deg","full-time",87500,"Marketing",6,0,"Small City","United States","Divorced",2,1,3,3,2,2,3,3,2,4,4,4,3,3,3,3,3,2,4,2,3,3,3,2,2,2,2,2,2,2,3,2,2,4,3,2,4,4,2,3,3,3,3,4,3,4,2,"yes","yes",2.6,3,2.6,3.2
"1300",21,"Female","No","ltuni","student",15000,"Bank Teller",0,3,"Large Town","United States","Single",0,0,3,3,3,1,1,3,4,4,4,3,2,5,4,2,3,3,4,2,5,3,3,2,3,5,4,3,2,4,4,4,4,3,2,3,4,2,3,4,3,3,3,3,3,3,3,"yes","yes",2.2,3,3.25,3
"1301",20,"Male","No","ltuni","student",10000,"Student",14,0,"Small City","United States","Single",0,0,3,4,4,3,3,2,2,2,3,2,3,4,4,2,2,4,3,4,3,2,3,2,4,5,3,2,3,3,4,2,4,3,3,3,4,4,3,3,4,4,3,2,3,3,2,"yes","yes",3.4,3,3.3,2.6
"1302",20,"Female","No","ltuni","student",10000,"Bookseller",1,5,"Small Town","United States","Single",0,0,4,4,5,4,4,3,3,5,5,4,2,4,4,4,4,4,5,3,5,4,5,2,3,5,5,3,4,5,5,5,4,5,3,4,4,4,4,4,5,5,4,3,4,3,4,"yes","yes",4.2,4,4.2,3.6
"1303",55,"Male","No","phd","full-time",NA,"",30,0,"Large-City","United States","Single",0,0,2,3,1,1,1,1,5,5,5,5,3,3,4,5,4,2,5,2,5,2,4,3,2,5,2,3,4,1,4,5,1,4,2,4,4,5,4,4,4,4,3,2,3,4,5,"no","no",1.6,4,3.45,3.4
"1304",19,"Male","No","high","part-time",10000,"Assistant",0,6,"Large-City","United States","Single",0,0,4,4,4,3,3,3,4,5,5,4,4,5,4,4,5,3,4,3,4,4,4,4,4,5,4,3,4,3,4,4,2,4,3,3,4,4,4,4,5,5,2,2,2,2,1,"yes","yes",3.6,4,3.85,1.8
"1305",32,"Female","No","phd","full-time",67500,"Educator",4,6,"Medium-Sized","United States","Divorced",0,0,3,2,3,1,1,2,1,2,3,3,1,4,4,3,3,4,2,3,3,3,4,1,3,3,3,3,1,3,4,2,2,4,3,1,4,1,1,4,4,4,4,5,5,5,4,"yes","yes",2,3,2.75,4.6
"1306",67,"Female","No","deg","full-time",150000,"",1,0,"Medium-Sized","United States","Divorced",0,0,3,3,3,2,2,2,2,3,3,3,2,1,3,4,3,2,3,2,3,4,3,1,3,4,3,2,3,3,4,1,2,4,2,3,4,3,2,4,4,4,3,3,1,1,3,"yes","no",2.6,3,2.95,2.2
"1307",19,"Female","No","lthigh","unemployed",10000,"",0,0,"Large Town","United States","Single",0,0,4,4,5,4,4,3,4,5,5,5,3,4,4,4,5,3,3,4,4,2,5,4,5,3,3,4,4,4,4,3,3,4,3,3,4,4,5,5,5,5,3,3,2,2,1,"yes","yes",4.2,4,4,2.2
